Kva	Huru mylnu skal göra
Lek	Lekarerätten
Md	Om mandråp
Rlb	Rättlösabalken
Slb	Slagsmålsbalken
Smb	Såramålbalken
Tb	Tjuvabalken
Urb	Urbotamål
Vs	Om vådasår
Äb	Ärvdabalken
ÖgL	Östgötalagen
Bb	Byggningabalken
Db	Dråpsbalken
Eb	Edsörebalken (konungs)
Kkb	Kyrkobalken
Vm	Vådamålsbalken
Rb	Rättegångsbalken
KrL	Kristoffers landslag
Äb	Ärvdabalken
Gb	Giptningabalken
Bb	Byggningabalken
Hmb	Högmålsbalken
Jb	Jordabalken
Kgb	Konungabalken
Kmb	Köpmålabalken
Tb	Tjuvabalken
Tmb	Tingmålsbalken
BS	Bagarnas skrå i Stockholm (c. 1506-10)
DS	Dragarnas (vindragarnas) skrå i Stockholm (1502 or 1503)
GsS	Guldsmedernas skrå i Stockholm (1501?)
Grg	Grágás
Arþ	Arfa þáttr
Bat	Baugatal
Feþ	Festa þáttr
Fjl	Fjárleigur
Hrs	Hreppaskil
Klb	Kristinna laga þáttr
Lbþ	Landbrigða þáttr
Lrþ	Lögréttuþáttar
Lsþ	Lögsögumannsþáttar
Misc	Miscellaneous articles
Ómb	Ómaga bálkr
Rsþ	Rannsókna þáttr
Þsþ	Þingskapaþáttar
Vl	Vígslóða
Js	Járnsíða
JyL	Jyske lov
För	Praefatio
ESjL	Erik’s Law of Zealand (Dan Eriks sjællandske lov)
KrSt	Kristoffers Stadslag
SjKL	Sjællandske kirkelov
SkL	Skånske lov
SkSt	Skånske Stadsrett
SkBL	Skånske bylov
LuSt	Lunds Stadsrett
MaBL	Malmø bylov
RoSt	Roskilde Stadsrett
SkSt	Skagen Stadsrett
